id,name,position
15119,"Jordan Patterson",OF
7859,"Charlie Blackmon",OF
14350,"Raimel Tapia",OF
7287,"Carlos Gonzalez",OF
11739,"J.T. Realmuto",C
5677,"A.J. Ellis",C
10067,"Tomas Telis",C
sa577789,"Austin Nola",2B/SS
9744,"Justin Bour",1B
10542,"Derek Dietrich",2B
8203,"Dee Gordon",2B/SS
7802,"Miguel Rojas",SS
11145,"Christian Colon",2B/3B
10459,"Adeiny Hechavarria",SS
17642,"J.T. Riddle",SS
3312,"Martin Prado",3B
10324,"Marcell Ozuna",OF
1101,"Ichiro Suzuki",OF
9887,"Destin Hood",OF
4949,"Giancarlo Stanton",OF
11477,"Christian Yelich",OF
4810,"Brian McCann",C
11003,"Evan Gattis",C/DH
7168,"Juan Centeno",C
10059,"Max Stassi",C
19198,"Yulieski Gurriel",1B/3B
5497,"Marwin Gonzalez",1B/SS
16246,"A.J. Reed",1B
15564,"Tyler White",1B
5417,"Jose Altuve",2B
14894,"Tony Kemp",OF
14162,"Carlos Correa",SS
17678,"Alex Bregman",3B
16909,"Colin Moran",3B
13075,"Nori Aoki",OF
11339,"Jake Marisnick",OF
589,"Carlos Beltran",OF
13066,"Teoscar Hernandez",OF
12856,"George Springer",OF
3892,"Josh Reddick",OF
13633,"Preston Tucker",OF
11368,"Yasmani Grandal",C
12158,"Austin Barnes",C
sa620958,"Kyle Farmer",C
1908,"Adrian Gonzalez",1B
15998,"Cody Bellinger",1B/OF
1679,"Chase Utley",2B
4365,"Scott Van Slyke",OF
11446,"Rob Segedin",1B/OF
7185,"Logan Forsythe",2B
13757,"Chris Taylor",SS
10472,"Kik̩ Hernandez",OF
11241,"Mike Freeman",2B
13624,"Corey Seager",SS
5235,"Justin Turner",3B
3255,"Franklin Gutierrez",OF
9952,"Trayce Thompson",OF
6265,"Andre Ethier",OF
14225,"Yasiel Puig",OF
11369,"Brett Eibner",OF
11899,"Joc Pederson",OF
12508,"Jett Bandy",C
2829,"Manny Pina",C
13132,"Andrew Susac",C
3711,"Eric Thames",OF
11342,"Jesus Aguilar",1B
5751,"Hernan Perez",3B
10166,"Nick Franklin",2B
11982,"Travis Shaw",1B/3B
10071,"Jonathan Villar",SS
7927,"Eric Sogard",2B
11863,"Yadiel Rivera",2B/3B
13185,"Orlando Arcia",SS
3410,"Ryan Braun",OF
10348,"Domingo Santana",OF
9253,"Keon Broxton",OF
sa657923,"Lewis Brinson",OF
sa658005,"Brett Phillips",OF
sa737938,"Ryan Cordell",3B/OF
13228,"Michael Reed",OF
4298,"Matt Wieters",C
4243,"Jose Lobaton",C
14523,"Pedro Severino",C
4220,"Ryan Zimmerman",3B
8027,"Adam Lind",1B/DH
sa526563,"Matt Skole",1B/3B
sa598311,"Jose Marmolejos",1B
4316,"Daniel Murphy",2B
4251,"Stephen Drew",SS
14320,"Wilmer Difo",2B/SS
10053,"Grant Green",2B
16252,"Trea Turner",2B/SS/OF
12861,"Anthony Rendon",2B/3B
1327,"Jayson Werth",OF
12858,"Brian Goodwin",OF
11489,"Michael Taylor",OF
2218,"Ryan Raburn",OF
3978,"Chris Heisey",OF
11579,"Bryce Harper",OF
15769,"Rafael Bautista",OF
7739,"Travis d'Arnaud",C
3648,"Rene Rivera",C
13807,"Kevin Plawecki",C
sa658115,"Tomas Nido",C
2502,"Lucas Duda",1B/OF
12495,"T.J. Rivera",1B/2B/3B
5827,"Wilmer Flores",3B/SS
9892,"Jay Bruce",OF
7539,"Neil Walker",2B
13788,"Matt Reynolds",3B/SS
4962,"Asdrubal Cabrera",SS
1736,"Jose Reyes",SS
sa732115,"Amed Rosario",SS
17005,"Gavin Cecchini",SS
3787,"David Wright",3B
13110,"Yoenis Cespedes",OF
16376,"Michael Conforto",OF
12927,"Brandon Nimmo",OF
5384,"Juan Lagares",OF
4747,"Curtis Granderson",OF
11146,"Cameron Rupp",C
14942,"Andrew Knapp",C
12180,"Jorge Alfaro",C
10349,"Tommy Joseph",1B
12244,"Brock Stassi",1B
4229,"Howie Kendrick",2B
10556,"Cesar Hernandez",2B
1907,"Andres Blanco",2B/SS
7740,"Ty Kelly",3B/OF
sa657867,"Jesmuel Valentin",2B
6609,"Freddy Galvis",SS
sa737507,"J.P. Crawford",SS
12179,"Maikel Franco",3B
11270,"Aaron Altherr",OF
5450,"Daniel Nava",OF
9981,"Michael Saunders",OF
13546,"Roman Quinn",OF
sa657981,"Nick Williams",OF
sa657955,"Dylan Cozens",OF
11476,"Odubel Herrera",OF
5275,"Francisco Cervelli",C
3878,"Chris Stewart",C
11680,"Elias Diaz",C
13145,"Josh Bell",1B
5887,"John Jaso",C
9549,"David Freese",3B
12937,"Jose Osuna",OF
8202,"Josh Harrison",2B/3B
12926,"Alen Hanson",2B
10340,"Gift Ngoepe",2B
14556,"Max Moroff",2B
15223,"Adam Frazier",2B/OF
10953,"Phil Gosselin",2B
13718,"Chris Bostick",OF
6547,"Jordy Mercer",SS
17182,"Jung Ho Kang",3B/SS
12907,"Gregory Polanco",OF
10317,"Danny Ortiz",OF
9847,"Andrew McCutchen",OF
sa737440,"Austin Meadows",OF
9241,"Starling Marte",OF
7007,"Yadier Molina",C
8145,"Eric Fryer",C
13620,"Carson Kelly",C
8090,"Matt Carpenter",3B
7996,"Jose Martinez",1B/OF
12532,"Kolten Wong",2B
10816,"Jedd Gyorko",2B
10951,"Greg Garcia",2B/3B/SS
sa657261,"Eliezer Alvarez",2B
15937,"Aledmys Diaz",SS
1738,"Jhonny Peralta",SS
sa736859,"Edmundo Sosa",SS
sa546472,"Breyvic Valera",2B
10243,"Randal Grichuk",OF
2967,"Tommy Pham",OF
18015,"Paul DeJong",2B
sa502038,"Anthony Garcia",OF
4062,"Dexter Fowler",OF
17023,"Magneuris Sierra",OF
13367,"Stephen Piscotty",OF
sa549441,"Rowan Wick",P/OF
12976,"Austin Hedges",C
15905,"Luis Torrens",C
10289,"Hector Sanchez",C
10047,"Wil Myers",1B/OF
5352,"Yangervis Solarte",3B
12649,"Alex Dickerson",OF
12294,"Cory Spangenberg",2B/3B
9953,"Ryan Schimpf",2B/3B
15197,"Carlos Asuaje",2B
4082,"Erick Aybar",SS
15722,"Allen Cordoba",OF
14140,"Jose Rondon",SS
6652,"Chase d'Arnaud",3B/SS
13768,"Travis Jankowski",OF
11255,"Matt Szczur",OF
11247,"Jabari Blash",OF
14712,"Manuel Margot",OF
14567,"Franchy Cordero",OF
15464,"Hunter Renfroe",OF
sa657492,"Jose Ruiz",C
9166,"Buster Posey",C
3376,"Nick Hundley",C
13895,"Trevor Brown",C
10264,"Brandon Belt",1B
3035,"Michael Morse",1B/OF
9009,"Conor Gillaspie",3B
11936,"Joe Panik",2B
16434,"Christian Arroyo",3B/SS
6104,"Aaron Hill",2B
13005,"Kelby Tomlinson",2B
11905,"Orlando Calixte",SS
5343,"Brandon Crawford",SS
6848,"Eduardo Nunez",3B/SS
sa657484,"Miguel Gomez",C/2B
7620,"Justin Ruggiano",OF
4146,"Gorkys Hernandez",OF
11624,"Jarrett Parker",OF
14158,"Mac Williamson",OF
8252,"Hunter Pence",OF
8347,"Denard Span",OF
5015,"Melvin Upton Jr.",OF
